plotID,subplotID,plotType,subtype,latitude,longitude,datum,utmZone,easting,northing,horzUncert,coordSrc,elevation,vertUncert,nlcdClass,appMods,subpltSize,subpltDim,refPoint,plotName,plotStatus
ABBY_006,21_400,distributed,basePlot,45.7539485816101,-122.298652969531,WGS84,10N,554547.104,5066949.243,2.28,GIS,534.69,0.53,evergreenForest,cfc|bgc|sme,400,20m x 20m,21,ABBY_006_basePlot,current
ABBY_006,41_400,distributed,basePlot,45.7541424350875,-122.298382470955,WGS84,10N,554567.953,5066970.965,2.22,GIS,521.46,0.53,evergreenForest,cfc|bgc|sme,400,20m x 20m,41,ABBY_006_basePlot,current
ABBY_007,41_400,distributed,basePlot,45.7690254284383,-122.360877131715,WGS84,10N,549694.252,5068583.756,2.23,GIS,442.04,0.53,evergreenForest,cfc,400,20m x 20m,41,ABBY_007_basePlot,current
ABBY_007,21_400,distributed,basePlot,45.7688487121273,-122.361117620104,WGS84,10N,549675.71,5068563.973,2.21,GIS,448.45,0.53,evergreenForest,cfc,400,20m x 20m,21,ABBY_007_basePlot,current
ABBY_008,21_400,distributed,basePlot,45.7712637404526,-122.355348897029,WGS84,10N,550122.088,5068835.888,2.3,GIS,354.39,0.53,evergreenForest,cfc,400,20m x 20m,21,ABBY_008_basePlot,current
ABBY_008,41_400,distributed,basePlot,45.7714468210486,-122.355093168408,WGS84,10N,550141.807,5068856.389,2.21,GIS,350.32,0.53,evergreenForest,cfc,400,20m x 20m,41,ABBY_008_basePlot,current
ABBY_009,21_400,distributed,basePlot,45.7655244724643,-122.299664148517,WGS84,10N,554457.197,5068234.658,2.1,GIS,535.82,0.53,shrubScrub,cfc,400,20m x 20m,21,ABBY_009_basePlot,current
ABBY_009,41_400,distributed,basePlot,45.7656991724904,-122.299402144579,WGS84,10N,554477.4,5068254.246,2.1,GIS,542.22,0.53,shrubScrub,cfc,400,20m x 20m,41,ABBY_009_basePlot,current
ABBY_010,21_400,distributed,basePlot,45.776457482801,-122.376056685753,WGS84,10N,548507.541,5069400.152,2.26,GIS,551.05,0.53,evergreenForest,cfc,400,20m x 20m,21,ABBY_010_basePlot,current
ABBY_010,41_400,distributed,basePlot,45.7766381012117,-122.375804771567,WGS84,10N,548526.969,5069420.372,2.17,GIS,548.06,0.53,evergreenForest,cfc,400,20m x 20m,41,ABBY_010_basePlot,current
ABBY_011,41_400,distributed,basePlot,45.7434500934774,-122.358864300037,WGS84,10N,549873.536,5065743.54,2.1,GIS,479.62,0.53,grasslandHerbaceous,cfc,400,20m x 20m,41,ABBY_011_basePlot,current
ABBY_011,21_400,distributed,basePlot,45.7432702054341,-122.359121200707,WGS84,10N,549853.712,5065723.394,2.1,GIS,486.97,0.53,grasslandHerbaceous,cfc,400,20m x 20m,21,ABBY_011_basePlot,current
ABBY_013,41_400,distributed,basePlot,45.7454214137929,-122.372677107677,WGS84,10N,548797.33,5065954.038,2.1,GIS,632.94,0.53,grasslandHerbaceous,cfc,400,20m x 20m,41,ABBY_013_basePlot,current
ABBY_013,21_400,distributed,basePlot,45.7452445294532,-122.372940830072,WGS84,10N,548776.97,5065934.225,2.1,GIS,633.41,0.53,grasslandHerbaceous,cfc,400,20m x 20m,21,ABBY_013_basePlot,current
ABBY_014,41_400,distributed,basePlot,45.7512754306068,-122.317243522559,WGS84,10N,553103.765,5066639.74,2.36,GIS,467.37,0.53,evergreenForest,cfc,400,20m x 20m,41,ABBY_014_basePlot,current
ABBY_014,21_400,distributed,basePlot,45.7511124857107,-122.317523014995,WGS84,10N,553082.181,5066621.451,2.28,GIS,476.23,0.53,evergreenForest,cfc,400,20m x 20m,21,ABBY_014_basePlot,current
ABBY_015,41_400,distributed,basePlot,45.7323685330778,-122.300219519444,WGS84,10N,554446.24,5064550.597,2.1,GIS,707.58,0.53,shrubScrub,cfc,400,20m x 20m,41,ABBY_015_basePlot,current
ABBY_015,21_400,distributed,basePlot,45.7321874398477,-122.300483024359,WGS84,10N,554425.914,5064530.298,2.1,GIS,717.7,0.53,shrubScrub,cfc,400,20m x 20m,21,ABBY_015_basePlot,current
ABBY_016,21_400,distributed,basePlot,45.746893830089,-122.332546565938,WGS84,10N,551917.581,5066142.89,2.16,GIS,385.24,0.53,evergreenForest,cfc,400,20m x 20m,21,ABBY_016_basePlot,current
ABBY_016,41_400,distributed,basePlot,45.7470845088931,-122.332285847608,WGS84,10N,551937.684,5066164.244,2.13,GIS,385.28,0.53,evergreenForest,cfc,400,20m x 20m,41,ABBY_016_basePlot,current
ABBY_017,41_400,distributed,basePlot,45.7728528396235,-122.369669552549,WGS84,10N,549007.256,5069003.563,2.1,GIS,493.59,0.53,evergreenForest,cfc,400,20m x 20m,41,ABBY_017_basePlot,current
ABBY_017,21_400,distributed,basePlot,45.772665871019,-122.369919817383,WGS84,10N,548987.962,5068982.637,2.1,GIS,500.95,0.53,evergreenForest,cfc,400,20m x 20m,21,ABBY_017_basePlot,current
ABBY_018,21_400,distributed,basePlot,45.7644330777794,-122.386908723012,WGS84,10N,547674.11,5068057.687,2.1,GIS,459.45,0.53,grasslandHerbaceous,cfc,400,20m x 20m,21,ABBY_018_basePlot,current
ABBY_018,41_400,distributed,basePlot,45.7646155059259,-122.38665071859,WGS84,10N,547694.017,5068078.109,2.1,GIS,464.21,0.53,grasslandHerbaceous,cfc,400,20m x 20m,41,ABBY_018_basePlot,current
ABBY_019,21_400,distributed,basePlot,45.7525142994162,-122.32597421259,WGS84,10N,552423.546,5066771.621,2.1,GIS,432.35,0.53,evergreenForest,cfc,400,20m x 20m,21,ABBY_019_basePlot,current
ABBY_019,41_400,distributed,basePlot,45.752682046078,-122.32569501418,WGS84,10N,552445.104,5066790.441,2.1,GIS,436.13,0.53,evergreenForest,cfc,400,20m x 20m,41,ABBY_019_basePlot,current
ABBY_020,21_400,distributed,basePlot,45.7677105762564,-122.303480130044,WGS84,10N,554158.356,5068474.947,2.29,GIS,500.51,0.53,evergreenForest,cfc,400,20m x 20m,21,ABBY_020_basePlot,current
ABBY_020,31_400,distributed,basePlot,45.7677916504839,-122.303374600929,WGS84,10N,554166.483,5068484.026,2.25,GIS,502.32,0.53,evergreenForest,cfc,400,20m x 20m,31,ABBY_020_basePlot,current
ABBY_020,41_400,distributed,basePlot,45.7678798053626,-122.303212524189,WGS84,10N,554179,5068493.93,2.19,GIS,505.35,0.53,evergreenForest,cfc,400,20m x 20m,41,ABBY_020_basePlot,current
ABBY_021,41_400,distributed,basePlot,45.7440261802564,-122.316979546978,WGS84,10N,553131.174,5065834.511,2.1,GIS,502.12,0.53,grasslandHerbaceous,cfc,400,20m x 20m,41,ABBY_021_basePlot,current
ABBY_021,21_400,distributed,basePlot,45.7438585585358,-122.31725052482,WGS84,10N,553110.254,5065815.708,2.1,GIS,497.66,0.53,grasslandHerbaceous,cfc,400,20m x 20m,21,ABBY_021_basePlot,current
ABBY_021,31_400,distributed,basePlot,45.7439418658017,-122.317117356207,WGS84,10N,553120.534,5065825.052,2.1,GIS,500.8,0.53,grasslandHerbaceous,cfc,400,20m x 20m,31,ABBY_021_basePlot,current
